region,day,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,Dayduration_Min
Bourgogne-Franche-Comté,2009/01/01,-0.5,14.0,89.0,6.875,513.5
Bourgogne-Franche-Comté,2009/01/02,-2.5,15.5,85.5,9.0,515.0
Bourgogne-Franche-Comté,2009/01/03,-4.5,19.5,77.5,10.0,516.0
Bourgogne-Franche-Comté,2009/01/04,-5.5,8.0,63.0,10.0,517.0
Bourgogne-Franche-Comté,2009/01/05,-6.0,6.5,66.5,10.0,518.5
Bourgogne-Franche-Comté,2009/01/06,-4.5,23.0,86.5,9.6875,520.0
Bourgogne-Franche-Comté,2009/01/07,-7.0,29.0,89.0,10.0,521.0
Bourgogne-Franche-Comté,2009/01/08,-6.5,22.0,78.0,10.0,522.5
Bourgogne-Franche-Comté,2009/01/09,-4.0,7.0,72.0,10.0,524.0
Bourgogne-Franche-Comté,2009/01/10,-3.0,6.5,65.5,10.0,525.5
Bourgogne-Franche-Comté,2009/01/11,-2.5,5.5,54.5,10.0,528.0
Bourgogne-Franche-Comté,2009/01/12,-2.0,13.0,56.0,10.0,529.0
Bourgogne-Franche-Comté,2009/01/13,1.0,10.5,66.0,10.0,531.5
Bourgogne-Franche-Comté,2009/01/14,0.0,9.0,97.5,9.164969099354433,533.0
Bourgogne-Franche-Comté,2009/01/15,0.0,12.5,89.5,7.0,535.0
Bourgogne-Franche-Comté,2009/01/16,1.0,14.0,79.0,10.0,537.5
Bourgogne-Franche-Comté,2009/01/17,2.5,22.5,91.5,9.0,539.0
Bourgogne-Franche-Comté,2009/01/18,4.5,17.20702084312804,98.0,9.6875,541.0
Bourgogne-Franche-Comté,2009/01/19,6.5,17.20702084312804,91.5,9.125,544.0
Bourgogne-Franche-Comté,2009/01/20,3.0,12.5,92.5,9.5,546.0
Bourgogne-Franche-Comté,2009/01/21,2.5,5.5,89.0,9.164969099354433,548.0
Bourgogne-Franche-Comté,2009/01/22,0.5,25.0,83.0,6.875,550.5
Bourgogne-Franche-Comté,2009/01/23,6.0,17.20702084312804,95.0,9.625,553.0
Bourgogne-Franche-Comté,2009/01/24,-0.5,30.0,95.0,6.8125,555.0
Bourgogne-Franche-Comté,2009/01/25,1.5,11.0,87.0,7.125,557.5
Bourgogne-Franche-Comté,2009/01/26,0.5,7.5,93.5,7.25,560.5
Bourgogne-Franche-Comté,2009/01/27,1.0,14.5,92.0,7.375,563.5
Bourgogne-Franche-Comté,2009/01/28,-1.0,12.0,82.5,9.5,566.0
Bourgogne-Franche-Comté,2009/01/29,-2.0,15.5,79.0,10.0,568.5
Bourgogne-Franche-Comté,2009/01/30,-1.5,15.5,75.0,10.0,571.0
Bourgogne-Franche-Comté,2009/01/31,-0.5,18.0,64.0,10.0,574.0
Bourgogne-Franche-Comté,2009/02/01,-3.5,16.5,74.0,8.0,576.5
Bourgogne-Franche-Comté,2009/02/02,1.0,14.5,83.5,8.0,580.0
Bourgogne-Franche-Comté,2009/02/03,1.0,13.5,95.0,9.164969099354433,582.0
Bourgogne-Franche-Comté,2009/02/04,2.0,18.0,91.0,6.1875,585.0
Bourgogne-Franche-Comté,2009/02/05,5.0,26.0,91.5,8.625,588.5
Bourgogne-Franche-Comté,2009/02/06,3.5,9.5,93.0,7.5,591.0
Bourgogne-Franche-Comté,2009/02/07,1.5,15.5,97.0,9.164969099354433,594.5
Bourgogne-Franche-Comté,2009/02/08,-0.5,14.5,88.5,9.1875,597.0
Bourgogne-Franche-Comté,2009/02/09,1.0,23.0,91.0,9.75,599.5
Bourgogne-Franche-Comté,2009/02/10,4.5,17.20702084312804,90.5,8.75,603.0
Bourgogne-Franche-Comté,2009/02/11,2.0,15.5,82.0,8.9375,606.5
Bourgogne-Franche-Comté,2009/02/12,-0.5,28.0,89.5,7.5,609.0
Bourgogne-Franche-Comté,2009/02/13,-1.5,5.5,94.0,9.164969099354433,613.0
Bourgogne-Franche-Comté,2009/02/14,-1.5,19.0,90.0,8.6875,615.0
Bourgogne-Franche-Comté,2009/02/15,-2.5,20.0,80.5,9.0,619.0
Bourgogne-Franche-Comté,2009/02/16,-2.0,9.0,89.5,6.8125,621.5
Bourgogne-Franche-Comté,2009/02/17,1.5,17.0,100.0,9.164969099354433,625.0
Bourgogne-Franche-Comté,2009/02/18,-2.0,15.0,90.5,9.0,628.0
Bourgogne-Franche-Comté,2009/02/19,-3.5,15.0,74.0,10.0,632.0
Bourgogne-Franche-Comté,2009/02/20,-0.5,8.0,71.0,9.5,634.0
Bourgogne-Franche-Comté,2009/02/21,1.5,16.0,95.5,9.164969099354433,638.0
Bourgogne-Franche-Comté,2009/02/22,1.5,14.0,95.5,9.164969099354433,641.0
Bourgogne-Franche-Comté,2009/02/23,3.5,10.0,96.0,9.164969099354433,645.0
Bourgogne-Franche-Comté,2009/02/24,3.0,18.5,90.5,8.8125,647.0
Bourgogne-Franche-Comté,2009/02/25,2.0,8.5,83.0,8.0,651.0
Bourgogne-Franche-Comté,2009/02/26,4.5,12.0,70.0,9.5,654.0
Bourgogne-Franche-Comté,2009/02/27,4.0,8.0,88.5,9.164969099354433,658.0
Bourgogne-Franche-Comté,2009/02/28,5.5,9.0,79.0,9.0,661.0
Bourgogne-Franche-Comté,2009/03/01,7.5,20.0,83.0,9.0,665.0
Bourgogne-Franche-Comté,2009/03/02,5.5,9.0,91.5,9.164969099354433,668.0
Bourgogne-Franche-Comté,2009/03/03,5.5,7.5,84.5,7.0625,671.5
Bourgogne-Franche-Comté,2009/03/04,4.5,29.5,93.0,8.375,674.0
Bourgogne-Franche-Comté,2009/03/05,1.5,20.0,91.0,6.3125,678.0
Bourgogne-Franche-Comté,2009/03/06,1.0,23.0,89.5,6.6875,681.0
Bourgogne-Franche-Comté,2009/03/07,2.0,5.0,90.0,6.75,685.0
Bourgogne-Franche-Comté,2009/03/08,4.0,24.0,93.5,8.9375,688.0
Bourgogne-Franche-Comté,2009/03/09,3.5,22.0,84.0,9.9375,692.0
Bourgogne-Franche-Comté,2009/03/10,2.5,29.5,99.5,8.5625,695.0
Bourgogne-Franche-Comté,2009/03/11,5.0,11.0,89.5,9.25,698.5
Bourgogne-Franche-Comté,2009/03/12,4.5,11.0,76.0,7.6875,702.0
Bourgogne-Franche-Comté,2009/03/13,8.0,4.5,85.5,9.164969099354433,705.0
Bourgogne-Franche-Comté,2009/03/14,8.5,14.5,82.0,6.875,709.0
Bourgogne-Franche-Comté,2009/03/15,7.5,15.0,78.0,8.8125,712.0
Bourgogne-Franche-Comté,2009/03/16,7.5,18.5,78.0,10.0,716.0
Bourgogne-Franche-Comté,2009/03/17,7.0,15.5,77.0,7.5,719.0
Bourgogne-Franche-Comté,2009/03/18,8.0,19.0,68.5,10.0,723.0
Bourgogne-Franche-Comté,2009/03/19,7.5,23.5,56.5,10.0,726.0
Bourgogne-Franche-Comté,2009/03/20,4.0,34.5,54.5,10.0,730.0
Bourgogne-Franche-Comté,2009/03/21,2.5,26.0,51.5,10.0,733.0
Bourgogne-Franche-Comté,2009/03/22,6.0,16.0,56.5,9.5,736.0
Bourgogne-Franche-Comté,2009/03/23,7.0,23.5,67.5,8.5,740.0
Bourgogne-Franche-Comté,2009/03/24,3.0,23.5,87.5,9.5,743.0
Bourgogne-Franche-Comté,2009/03/25,2.5,30.0,96.5,8.375,747.0
Bourgogne-Franche-Comté,2009/03/26,5.5,20.5,88.5,7.75,750.0
Bourgogne-Franche-Comté,2009/03/27,5.5,27.5,92.0,8.5,753.5
Bourgogne-Franche-Comté,2009/03/28,6.5,24.5,94.0,9.4375,757.0
Bourgogne-Franche-Comté,2009/03/29,5.0,25.5,81.0,9.0,760.0
Bourgogne-Franche-Comté,2009/03/30,6.5,28.0,72.5,10.0,764.0
Bourgogne-Franche-Comté,2009/03/31,6.0,21.0,75.5,9.0,767.0
