region,day,TempMax_Deg,Wind_kmh,Wet_percent,Visibility_km,Dayduration_Min
Bourgogne-Franche-Comté,2011/01/01,1.0,5.0,91.0,7.5,513.5
Bourgogne-Franche-Comté,2011/01/02,0.5,24.5,95.0,7.75,514.5
Bourgogne-Franche-Comté,2011/01/03,-1.5,15.0,90.5,8.0,515.5
Bourgogne-Franche-Comté,2011/01/04,-2.5,5.5,84.5,8.375,516.5
Bourgogne-Franche-Comté,2011/01/05,2.5,19.5,86.5,10.0,518.0
Bourgogne-Franche-Comté,2011/01/06,7.5,30.0,96.5,9.3125,519.0
Bourgogne-Franche-Comté,2011/01/07,11.0,21.0,97.5,8.875,520.0
Bourgogne-Franche-Comté,2011/01/08,13.0,27.0,93.5,9.3125,522.0
Bourgogne-Franche-Comté,2011/01/09,8.5,21.0,99.5,7.6875,523.5
Bourgogne-Franche-Comté,2011/01/10,5.0,5.5,88.5,6.875,525.0
Bourgogne-Franche-Comté,2011/01/11,4.5,23.0,97.0,5.8125,526.5
Bourgogne-Franche-Comté,2011/01/12,5.5,18.5,97.5,6.5,528.5
Bourgogne-Franche-Comté,2011/01/13,10.5,25.0,98.0,9.375,530.5
Bourgogne-Franche-Comté,2011/01/14,10.5,10.5,96.0,5.25,532.0
Bourgogne-Franche-Comté,2011/01/15,10.0,11.5,95.5,8.375,534.5
Bourgogne-Franche-Comté,2011/01/16,8.5,9.5,80.0,10.0,536.0
Bourgogne-Franche-Comté,2011/01/17,7.5,17.0,88.0,8.875,538.0
Bourgogne-Franche-Comté,2011/01/18,7.5,13.0,94.5,4.875,540.5
Bourgogne-Franche-Comté,2011/01/19,4.0,20.0,89.5,8.375,542.5
Bourgogne-Franche-Comté,2011/01/20,1.5,22.5,87.0,7.875,544.5
Bourgogne-Franche-Comté,2011/01/21,1.0,34.0,77.0,10.0,547.0
Bourgogne-Franche-Comté,2011/01/22,0.0,28.5,70.5,10.0,549.0
Bourgogne-Franche-Comté,2011/01/23,0.0,17.0,65.0,10.0,552.0
Bourgogne-Franche-Comté,2011/01/24,1.0,12.5,78.0,10.0,554.0
Bourgogne-Franche-Comté,2011/01/25,2.5,13.0,91.0,6.5625,557.0
Bourgogne-Franche-Comté,2011/01/26,3.5,11.5,94.5,5.0,559.0
Bourgogne-Franche-Comté,2011/01/27,3.0,17.0,88.5,7.875,562.0
Bourgogne-Franche-Comté,2011/01/28,2.5,15.5,87.0,7.25,564.0
Bourgogne-Franche-Comté,2011/01/29,2.0,13.0,71.5,10.0,567.0
Bourgogne-Franche-Comté,2011/01/30,0.5,7.5,67.5,10.0,569.5
Bourgogne-Franche-Comté,2011/01/31,0.0,7.5,58.0,10.0,573.0
Bourgogne-Franche-Comté,2011/02/01,-1.0,5.5,57.5,10.0,575.5
Bourgogne-Franche-Comté,2011/02/02,1.0,9.0,57.0,10.0,578.0
Bourgogne-Franche-Comté,2011/02/03,2.0,12.5,74.5,8.4375,580.5
Bourgogne-Franche-Comté,2011/02/04,8.0,21.5,96.0,7.625,584.0
Bourgogne-Franche-Comté,2011/02/05,8.0,20.0,94.5,7.625,587.0
Bourgogne-Franche-Comté,2011/02/06,10.0,6.0,88.0,6.25,589.0
Bourgogne-Franche-Comté,2011/02/07,10.5,14.0,70.5,10.0,593.0
Bourgogne-Franche-Comté,2011/02/08,9.5,5.5,78.0,9.5,595.0
Bourgogne-Franche-Comté,2011/02/09,8.0,4.5,71.0,9.0,599.0
Bourgogne-Franche-Comté,2011/02/10,9.0,13.5,67.5,10.0,601.5
Bourgogne-Franche-Comté,2011/02/11,10.0,20.0,65.5,10.0,605.0
Bourgogne-Franche-Comté,2011/02/12,10.0,12.5,75.0,9.4375,607.5
Bourgogne-Franche-Comté,2011/02/13,9.0,7.0,89.5,7.625,611.0
Bourgogne-Franche-Comté,2011/02/14,8.5,9.0,88.5,8.375,613.5
Bourgogne-Franche-Comté,2011/02/15,7.0,17.0,93.5,6.3125,617.0
Bourgogne-Franche-Comté,2011/02/16,7.5,7.0,83.0,7.5,620.5
Bourgogne-Franche-Comté,2011/02/17,7.5,7.0,70.5,10.0,623.0
Bourgogne-Franche-Comté,2011/02/18,6.5,6.0,78.5,8.0,626.5
Bourgogne-Franche-Comté,2011/02/19,6.5,5.5,67.0,9.1875,630.0
Bourgogne-Franche-Comté,2011/02/20,5.5,11.5,97.0,8.71249231596742,632.5
Bourgogne-Franche-Comté,2011/02/21,7.0,8.5,93.0,8.71249231596742,636.0
Bourgogne-Franche-Comté,2011/02/22,4.5,13.0,90.5,7.0,639.5
Bourgogne-Franche-Comté,2011/02/23,4.0,6.0,71.0,9.5,643.0
Bourgogne-Franche-Comté,2011/02/24,5.5,12.5,95.5,4.875,647.0
Bourgogne-Franche-Comté,2011/02/25,9.5,10.5,92.5,8.71249231596742,649.0
Bourgogne-Franche-Comté,2011/02/26,7.0,15.0,95.0,7.0,653.0
Bourgogne-Franche-Comté,2011/02/27,6.5,18.0,76.5,8.9375,656.0
Bourgogne-Franche-Comté,2011/02/28,6.5,26.5,88.0,8.4375,660.0
Bourgogne-Franche-Comté,2011/03/01,7.5,24.5,87.5,10.0,663.0
Bourgogne-Franche-Comté,2011/03/02,7.5,22.5,65.5,10.0,667.0
Bourgogne-Franche-Comté,2011/03/03,7.5,18.0,82.0,8.9375,670.0
Bourgogne-Franche-Comté,2011/03/04,7.0,18.0,78.5,8.5,673.0
Bourgogne-Franche-Comté,2011/03/05,6.5,21.0,77.5,9.0625,676.0
Bourgogne-Franche-Comté,2011/03/06,6.5,15.5,79.5,8.5,679.5
Bourgogne-Franche-Comté,2011/03/07,7.0,11.0,59.0,10.0,683.0
Bourgogne-Franche-Comté,2011/03/08,11.0,20.0,72.5,10.0,686.0
Bourgogne-Franche-Comté,2011/03/09,11.5,14.5,66.5,9.25,690.0
Bourgogne-Franche-Comté,2011/03/10,10.0,20.0,78.0,7.25,693.0
Bourgogne-Franche-Comté,2011/03/11,11.5,9.0,76.0,7.875,697.0
Bourgogne-Franche-Comté,2011/03/12,11.5,14.5,78.0,8.875,700.0
Bourgogne-Franche-Comté,2011/03/13,7.5,9.0,95.0,5.375,704.0
Bourgogne-Franche-Comté,2011/03/14,14.0,10.0,85.0,6.375,707.0
Bourgogne-Franche-Comté,2011/03/15,15.5,13.5,69.0,9.0,711.0
Bourgogne-Franche-Comté,2011/03/16,13.0,6.5,84.0,6.1875,714.0
Bourgogne-Franche-Comté,2011/03/17,8.5,18.0,87.0,5.6875,717.5
Bourgogne-Franche-Comté,2011/03/18,11.0,14.0,76.0,6.75,721.0
Bourgogne-Franche-Comté,2011/03/19,9.0,20.5,91.0,6.5625,724.0
Bourgogne-Franche-Comté,2011/03/20,10.0,20.5,56.5,10.0,728.0
Bourgogne-Franche-Comté,2011/03/21,10.5,21.0,49.5,10.0,731.0
Bourgogne-Franche-Comté,2011/03/22,12.0,10.5,57.5,10.0,735.0
Bourgogne-Franche-Comté,2011/03/23,14.5,15.0,60.5,10.0,738.0
Bourgogne-Franche-Comté,2011/03/24,16.5,4.0,66.5,10.0,742.0
Bourgogne-Franche-Comté,2011/03/25,16.5,17.5,61.5,10.0,745.0
Bourgogne-Franche-Comté,2011/03/26,16.0,9.5,72.0,9.625,748.0
Bourgogne-Franche-Comté,2011/03/27,15.0,10.0,76.0,7.625,752.0
Bourgogne-Franche-Comté,2011/03/28,14.5,7.0,78.0,6.3125,755.0
Bourgogne-Franche-Comté,2011/03/29,15.5,5.5,74.0,8.8125,759.0
Bourgogne-Franche-Comté,2011/03/30,14.0,15.0,82.5,6.125,762.0
Bourgogne-Franche-Comté,2011/03/31,13.5,20.0,96.0,6.1875,765.0
Bourgogne-Franche-Comté,2011/04/01,18.0,5.5,81.5,6.25,769.0
Bourgogne-Franche-Comté,2011/04/02,21.0,16.5,70.5,8.5,772.0
Bourgogne-Franche-Comté,2011/04/03,18.5,13.5,80.0,8.8125,776.0
Bourgogne-Franche-Comté,2011/04/04,13.0,8.5,81.0,7.6875,779.0
Bourgogne-Franche-Comté,2011/04/05,15.5,6.5,69.0,7.75,783.0
Bourgogne-Franche-Comté,2011/04/06,20.0,15.0,63.5,10.0,786.0
Bourgogne-Franche-Comté,2011/04/07,22.5,10.0,69.5,8.875,789.0
Bourgogne-Franche-Comté,2011/04/08,18.5,14.5,68.0,10.0,793.0
Bourgogne-Franche-Comté,2011/04/09,21.0,21.5,64.0,9.5,796.0
Bourgogne-Franche-Comté,2011/04/10,21.0,21.0,54.0,10.0,800.0
Bourgogne-Franche-Comté,2011/04/11,20.5,9.0,58.0,9.3125,803.0
Bourgogne-Franche-Comté,2011/04/12,12.5,23.5,79.0,8.75,805.5
Bourgogne-Franche-Comté,2011/04/13,11.5,12.0,51.0,9.5,809.5
Bourgogne-Franche-Comté,2011/04/14,12.5,18.5,80.07957407831464,10.0,812.0
Bourgogne-Franche-Comté,2011/04/15,13.5,21.0,80.07957407831464,10.0,816.0
Bourgogne-Franche-Comté,2011/04/16,14.5,12.5,54.5,10.0,819.0
Bourgogne-Franche-Comté,2011/04/17,16.0,5.5,56.5,10.0,822.0
Bourgogne-Franche-Comté,2011/04/18,19.0,10.5,54.5,10.0,826.0
Bourgogne-Franche-Comté,2011/04/19,19.5,7.5,52.0,10.0,828.5
Bourgogne-Franche-Comté,2011/04/20,20.5,7.0,59.5,10.0,832.5
Bourgogne-Franche-Comté,2011/04/21,20.0,9.5,58.5,9.875,835.0
Bourgogne-Franche-Comté,2011/04/22,20.5,7.5,56.0,9.9375,838.0
Bourgogne-Franche-Comté,2011/04/23,21.0,8.5,64.5,9.75,842.0
Bourgogne-Franche-Comté,2011/04/24,18.5,9.0,88.0,7.5625,844.5
Bourgogne-Franche-Comté,2011/04/25,20.5,20.5,61.5,8.875,847.5
