region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,Dayduration_Min
Bourgogne-Franche-Comté,2014/01/01,7.0,3.0,17.0,94.0,9.0,513.5
Bourgogne-Franche-Comté,2014/01/02,9.5,6.5,27.0,93.0,9.0625,514.5
Bourgogne-Franche-Comté,2014/01/03,10.5,7.0,30.0,92.0,9.5,515.5
Bourgogne-Franche-Comté,2014/01/04,8.0,6.0,16.5,95.5,8.0625,516.5
Bourgogne-Franche-Comté,2014/01/05,6.0,3.0,16.0,95.0,8.9375,518.0
Bourgogne-Franche-Comté,2014/01/06,9.0,4.5,17.0,78.5,9.6875,519.5
Bourgogne-Franche-Comté,2014/01/07,10.5,6.5,19.0,85.5,9.6875,520.5
Bourgogne-Franche-Comté,2014/01/08,12.0,8.0,13.5,90.5,9.875,522.5
Bourgogne-Franche-Comté,2014/01/09,11.0,7.0,26.5,80.0,9.875,524.0
Bourgogne-Franche-Comté,2014/01/10,8.5,6.0,4.0,90.0,7.375,525.0
Bourgogne-Franche-Comté,2014/01/11,8.0,6.0,15.5,89.0,6.5,527.5
Bourgogne-Franche-Comté,2014/01/12,7.0,4.0,8.5,93.0,6.25,529.0
Bourgogne-Franche-Comté,2014/01/13,6.5,4.0,12.5,94.5,5.3125,531.0
Bourgogne-Franche-Comté,2014/01/14,5.5,4.0,19.5,91.5,6.1875,532.5
Bourgogne-Franche-Comté,2014/01/15,4.5,2.5,19.0,84.5,5.75,535.0
Bourgogne-Franche-Comté,2014/01/16,7.5,4.5,25.0,96.5,9.375,536.5
Bourgogne-Franche-Comté,2014/01/17,8.0,3.5,19.5,86.5,10.0,538.5
Bourgogne-Franche-Comté,2014/01/18,7.5,3.5,14.0,72.0,9.6875,541.0
Bourgogne-Franche-Comté,2014/01/19,6.5,4.0,6.5,87.0,8.25,543.5
Bourgogne-Franche-Comté,2014/01/20,5.0,3.5,17.5,97.0,8.908175105485233,545.5
Bourgogne-Franche-Comté,2014/01/21,3.5,2.0,9.0,93.0,5.75,547.0
