POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13001009;20110101;0,0;1;;;6,1;1;1756;9;12,5;1;1311;9;7,0;1;9,30;1;3,6;1;;;18;9;6,4;1;9,3;1;;;;;1,0;1;5,1;1;290;1;1429;9;3,1;1;290;1;1436;9;;;;;;;;;;;;;;;50;1;1431;9;95;1;2317;9;0;9;637;9;7,6;9;;;76;9;138;1;511;1;;;;;26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;9;1,1;9;;;;;;;;;;;;
13001009;20110102;0,2;1;;;-2,4;1;645;9;8,4;1;1335;9;2,3;1;3,00;1;-4,9;1;;;512;9;10,8;1;3,0;1;;;;;0,9;1;5,6;1;300;1;1405;9;3,2;1;330;1;1530;9;;;;;;;;;;;;;;;59;1;1235;9;100;1;800;9;0;9;1028;9;6,0;9;;;84;9;463;1;762;1;;;;;87;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;0,5;9;;;;;;;;;;;;
13001009;20110103;0,6;1;;;-0,6;1;547;9;7,3;1;1144;9;4,1;1;3,35;1;-2,6;1;;;108;9;7,9;1;3,4;1;;;;;0,7;1;4,8;1;30;1;852;9;2,5;1;40;1;856;9;;;;;;;;;;;;;;;61;1;1055;9;92;1;513;9;0;9;964;9;6,7;9;;;81;9;4;1;306;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;0,4;9;;;;;;;;;;;;
13001009;20110104;1,8;1;;;4,7;1;2032;9;8,3;1;1257;9;5,9;1;6,50;1;3,6;1;;;0;9;3,6;1;6,5;1;;;;;1,6;1;6,7;1;190;1;1342;9;4,2;1;190;1;1346;9;;;;;;;;;;;;;;;58;1;1308;9;94;1;908;9;0;9;806;9;7,2;9;;;79;9;218;1;442;1;;;;;41;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;0,8;9;;;;;;;;;;;;
13001009;20110105;0,2;1;;;4,4;1;2152;9;7,3;1;505;9;6,2;1;5,85;1;2,5;1;;;0;9;2,9;1;5,9;1;;;;;3,5;1;12,2;1;90;1;2141;9;6,6;1;110;9;2159;9;;;;;;;;;;;;;;;67;1;335;9;80;1;2222;9;0;9;88;9;7,0;9;;;74;9;0;1;155;1;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;0,7;9;;;;;;;;;;;;
13001009;20110106;0,0;1;;;5,8;1;1955;9;11,7;1;558;9;8,7;1;8,75;1;4,9;1;;;0;9;5,9;1;8,8;1;;;;;4,4;1;12,9;1;100;1;751;9;6,2;1;100;1;758;9;;;;;;;;;;;;;;;80;1;1;9;88;1;150;9;0;9;1440;9;9,4;9;;;84;9;0;1;158;1;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;1,1;9;;;;;;;;;;;;
13001009;20110107;0,0;1;;;9,4;1;1835;9;14,6;1;1047;9;12,6;1;12,00;1;8,7;1;;;0;9;5,2;1;12,0;1;;;;;3,7;1;13,2;1;130;1;2026;9;6,5;1;120;1;1957;9;;;;;;;;;;;;;;;76;1;1048;9;89;1;452;9;0;9;1211;9;12,1;9;;;83;9;115;1;334;1;;;;;21;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;1,1;9;;;;;;;;;;;;
13001009;20110108;0,0;1;;;11,8;1;541;9;15,5;1;1351;9;12,8;1;13,65;1;10,6;1;;;0;9;3,7;1;13,7;1;;;;;4,1;1;13,6;1;90;1;1039;9;6,7;1;120;1;1037;9;;;;;;;;;;;;;;;68;1;1346;9;87;1;514;9;0;9;932;9;11,8;9;;;80;9;443;1;761;1;;;;;83;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;9;2,2;9;;;;;;;;;;;;
13001009;20110109;7,7;1;;;11,0;1;2335;9;14,7;1;1238;9;11,9;1;12,85;1;9,0;1;;;0;9;3,7;1;12,9;1;;;;;3,2;1;11,4;1;70;1;1052;9;5,7;1;100;1;807;9;;;;;;;;;;;;;;;66;1;1232;9;94;1;2334;9;0;9;835;9;11,2;9;;;81;9;31;1;380;1;;;;;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;9;2,0;9;;;;;;;;;;;;
13001009;20110110;0,2;1;;;7,2;1;1800;9;12,9;1;1230;9;8,1;1;10,05;1;5,0;1;;;0;9;5,7;1;10,1;1;;;;;1,0;1;5,5;1;250;1;1430;9;3,2;1;240;1;1329;9;;;;;;;;;;;;;;;72;1;1245;9;99;1;2351;9;0;9;1152;9;9,6;9;;;89;9;294;1;673;1;;;;;55;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;0,8;9;;;;;;;;;;;;
